Category,Model,Model Year,Manufacturer,Fuel,All-Electric Range,Alternative Fuel Economy Combined,Conventional Fuel Economy Combined,Transmission Type,Engine Size
Sedan/Wagon,Ioniq Blue,2022,Hyundai,Hybrid Electric,,,59.0,Automatic,1.6L
Sedan/Wagon,Ioniq Plug-in Hybrid,2022,Hyundai,Plug-in Hybrid Electric,29.0,119.0,52.0,Automatic,1.6L
SUV,Kona Electric,2022,Hyundai,Electric,258.0,120.0,,Automatic,150 kW electric motor
SUV,Nexo,2022,Hyundai,Hydrogen Fuel Cell,,57.0,,Automatic,120 kW electric motor
SUV,Nexo Blue,2022,Hyundai,Hydrogen Fuel Cell,,61.0,,Automatic,120 kW electric motor
Sedan/Wagon,Santa Fe Hybrid,2022,Hyundai,Hybrid Electric,,,32.0,Automatic,1.6L
Sedan/Wagon,Santa Fe Hybrid Blue,2022,Hyundai,Hybrid Electric,,,34.0,Automatic,1.6L
Sedan/Wagon,Santa Fe Plug-in Hybrid,2022,Hyundai,Plug-in Hybrid Electric,31.0,76.0,33.0,Automatic,1.6L
Sedan/Wagon,Sonata Hybrid,2022,Hyundai,Hybrid Electric,,,47.0,Automatic,2.0L
Sedan/Wagon,Sonata Hybrid Blue,2022,Hyundai,Hybrid Electric,,,52.0,Automatic,2.0L
Sedan/Wagon,Tucson Hybrid,2022,Hyundai,Hybrid Electric,,,37.0,Automatic,1.6L
Sedan/Wagon,Tucson Hybrid Blue,2022,Hyundai,Hybrid Electric,,,38.0,Automatic,1.6L
SUV,Tucson Plug-in Hybrid,2022,Hyundai,Plug-in Hybrid Electric,33.0,80.0,35.0,Automatic,1.6L
SUV,E-PACE MHEV,2022,Jaguar,Hybrid Electric,,,23.0,Automatic,2.0L
SUV,F-PACE P340 MHEV,2022,Jaguar,Hybrid Electric,,,22.0,Automatic,3.0L
SUV,F-PACE P400 MHEV,2022,Jaguar,Hybrid Electric,,,22.0,Automatic,3.0L
SUV,Grand Cherokee 4xe,2022,Jeep,Plug-in Hybrid Electric,26.0,56.0,23.0,Automatic,2.0L
SUV,Wagoneer 4x2,2022,Jeep,Hybrid Electric,,,18.0,Automatic,5.7L
SUV,Wagoneer 4x4,2022,Jeep,Hybrid Electric,,,17.0,Automatic,5.7L
SUV,Wrangler 2dr 4x4,2022,Jeep,Hybrid Electric,,,21.0,Automatic,3.6L
SUV,Wrangler 4dr 4x4,2022,Jeep,Hybrid Electric,,,21.0,Automatic,3.6L
SUV,Wrangler 4dr 4xe,2022,Jeep,Plug-in Hybrid Electric,22.0,49.0,20.0,Automatic,2.0L
Sedan/Wagon,EV6 AWD (Long Range) ,2022,Kia,Electric,274.0,105.0,,Automatic,74 kW and 165 kW electric motors
Sedan/Wagon,EV6 RWD,2022,Kia,Electric,232.0,117.0,,Automatic,125 kW electric motor
Sedan/Wagon,EV6 RWD (Long Range) ,2022,Kia,Electric,310.0,117.0,,Automatic,168 kW electric motor
Sedan/Wagon,Niro,2022,Kia,Hybrid Electric,,,49.0,Automatic,1.6L
Sedan/Wagon,Niro Electric,2022,Kia,Electric,239.0,112.0,,Automatic,150 kW electric motor
Sedan/Wagon,Niro FE,2022,Kia,Hybrid Electric,,,50.0,Automatic,1.6L
Sedan/Wagon,Niro Plug-in Hybrid,2022,Kia,Plug-in Hybrid Electric,26.0,105.0,46.0,Automatic,1.6L
Sedan/Wagon,Niro Touring,2022,Kia,Hybrid Electric,,,43.0,Automatic,1.6L
SUV,Sorento Hybrid AWD,2022,Kia,Hybrid Electric,,,35.0,Automatic,1.6L
SUV,Sorento Hybrid FWD,2022,Kia,Hybrid Electric,,,37.0,Automatic,1.6L
SUV,Sorento Plug-in Hybrid,2022,Kia,Plug-in Hybrid Electric,32.0,79.0,34.0,Automatic,1.6L
SUV,Defender 110 MHEV,2022,Land Rover,Hybrid Electric,,,19.0,Automatic,3.0L
SUV,Defender 90 MHEV,2022,Land Rover,Hybrid Electric,,,19.0,Automatic,3.0L
SUV,Discovery MHEV,2022,Land Rover,Hybrid Electric,,,21.0,Automatic,3.0L
SUV,New Range Rover P360 LWB MHEV,2022,Land Rover,Hybrid Electric,,,21.0,Automatic,3.0L
SUV,New Range Rover P360 MHEV,2022,Land Rover,Hybrid Electric,,,21.0,Automatic,3.0L
SUV,New Range Rover P400 LWB MHEV,2022,Land Rover,Hybrid Electric,,,21.0,Automatic,3.0L
