date,relative_humidity_2m,apparent_temperature,rain,snowfall,snow_depth,cloud_cover_low,wind_speed_10m,wind_gusts_10m
2023-04-13 12:00:00.000000 UTC,29.0,28.6,0.0,0.0,0.0,0.0,12.5,24.5
2022-06-20 12:00:00.000000 UTC,29.0,23.3,0.0,0.0,0.0,0.0,14.0,29.9
2021-03-14 12:00:00.000000 UTC,29.0,2.7,0.0,0.0,0.0,0.0,32.2,56.9
2020-02-28 12:00:00.000000 UTC,29.0,-4.1,0.0,0.0,0.0,0.0,32.2,59.4
2023-04-12 12:00:00.000000 UTC,29.0,23.3,0.0,0.0,0.0,0.0,20.1,35.3
2023-04-14 12:00:00.000000 UTC,29.0,29.3,0.0,0.0,0.0,0.0,8.6,19.8
2023-05-26 12:00:00.000000 UTC,29.0,19.3,0.0,0.0,0.0,0.0,12.5,26.6
2021-03-19 12:00:00.000000 UTC,29.0,-3.9,0.0,0.0,0.0,0.0,32.8,59.4
2021-05-14 13:00:00.000000 UTC,29.0,21.7,0.0,0.0,0.0,0.0,3.8,16.2
2020-02-23 13:00:00.000000 UTC,29.0,6.3,0.0,0.0,0.0,0.0,15.7,29.9
2021-04-23 13:00:00.000000 UTC,29.0,8.9,0.0,0.0,0.0,0.0,30.1,55.1
2021-03-05 13:00:00.000000 UTC,29.0,-5.4,0.0,0.0,0.04,0.0,29.8,54.0
2022-07-30 13:00:00.000000 UTC,29.0,30.1,0.0,0.0,0.0,0.0,22.0,37.8
2021-05-13 13:00:00.000000 UTC,29.0,17.5,0.0,0.0,0.0,0.0,6.0,17.6
2021-05-19 13:00:00.000000 UTC,29.0,27.6,0.0,0.0,0.0,0.0,14.1,27.4
2022-03-28 13:00:00.000000 UTC,29.0,-8.4,0.0,0.0,0.0,0.0,32.1,55.8
2022-08-12 14:00:00.000000 UTC,29.0,27.8,0.0,0.0,0.0,0.0,11.3,26.3
2021-05-14 14:00:00.000000 UTC,29.0,20.9,0.0,0.0,0.0,0.0,6.0,17.3
2020-03-08 14:00:00.000000 UTC,29.0,7.9,0.0,0.0,0.0,0.0,21.3,38.9
2022-07-30 14:00:00.000000 UTC,29.0,30.2,0.0,0.0,0.0,0.0,19.1,39.6
2020-03-27 14:00:00.000000 UTC,29.0,14.8,0.0,0.0,0.0,0.0,15.4,30.2
2021-04-03 14:00:00.000000 UTC,29.0,6.3,0.0,0.0,0.0,0.0,14.2,30.2
